External ID,Name,Status,Last SO Create Date,Agency Region,County/Ward,Shipping Address,Phone,Day of Week,Monthly Options,Starting Time,Ending Time,By Appointment Only,Food Pantry Requirements,Date of Last Verification,Distribution Models,Food Format ,Additional Note on Hours of Operations,Latitude,Longitude
19079-PART-02,Children of Mine : Children of Mine,Active,1/21/2025,DC,DC Ward 8,"2263 mount view place, se washington DC 20020",(202) 374-6029,Tuesday,2nd and 4th of the Month,8:00 AM,10:00 AM,No,,10/2/2024,,,,38.8629082,-76.9902822
14265-PART-01,St. Martins Social Service : St. Martins Social Service,Active,1/3/2025,DC,DC Ward 5,1908 North Capitol Street NW Washington DC 20002,(202) 232-1144,Wednesday,Every week,10:00 AM,11:30 AM,No,,10/7/2024,,,walkups,38.9157583,-77.0095097
18786-PART-01,Bethesda Cares : Bethesda Cares,Active,11/21/2024,MD,MD Montgomery County,5033 Wilson Lane Bethesda MD 20814,(301) 907-9244,Monday,Every week,11:00 AM,1:00 PM,No,,10/21/2024,,,walk-ins hotmeals,38.987526,-77.1002947
18786-PART-01,Bethesda Cares : Bethesda Cares,Active,11/21/2024,MD,MD Montgomery County,5033 Wilson Lane Bethesda MD 20814,(301) 907-9244,Tuesday,Every week,11:00 AM,1:00 PM,No,,10/21/2024,,,walk-ins hotmeals,38.987526,-77.1002947
18786-PART-01,Bethesda Cares : Bethesda Cares,Active,11/21/2024,MD,MD Montgomery County,5033 Wilson Lane Bethesda MD 20814,(301) 907-9244,Wednesday,Every week,11:00 AM,1:00 PM,No,,10/21/2024,,,walk in hot meals,38.987526,-77.1002947
18786-PART-01,Bethesda Cares : Bethesda Cares,Active,11/21/2024,MD,MD Montgomery County,5033 Wilson Lane Bethesda MD 20814,(301) 907-9244,Thursday,Every week,11:00 AM,1:00 PM,No,,10/21/2024,,,walk in hot meals,38.987526,-77.1002947
18786-PART-01,Bethesda Cares : Bethesda Cares,Active,11/21/2024,MD,MD Montgomery County,5033 Wilson Lane Bethesda MD 20814,(301) 907-9244,Friday,Every week,11:00 AM,1:00 PM,No,,10/21/2024,,,walk ins hot meals give meals for Saturday on Fridays,38.987526,-77.1002947
19656-PART-01,"Brookland Senior Day Care Center, Inc. : Brookland Senior Day Care Center, Inc.",Active,2/26/2025,DC,DC Ward 4,6210 Chillum Place NW Washington DC 20011,(302) 538-0813,Tuesday,Every week,12:30 PM,1:30 PM,No,,10/3/2024,,Prepared meals,,38.9660472,-77.0111547
19753-PART-01,City of David Ministries : City of David Ministries,Active,2/4/2025,MD,MD Prince George's County,2900 Boones Lane District Heights MD 20747,(301) 200-2489,Saturday,3rd of the Month,8:00 AM,3:00 PM,Yes,ID,11/19/2024,,Pre-bagged or boxed groceries,,38.849774,-76.8806046
19753-PART-01,City of David Ministries : City of David Ministries,Active,2/4/2025,MD,MD Prince George's County,2900 Boones Lane District Heights MD 20747,(301) 200-2489,Saturday,4th of the Month,10:00 AM,2:00 PM,Yes,ID,11/19/2024,Home Delivery,,,38.849774,-76.8806046
16185-PART-01,City of Greenbelt Food Pantry : City of Greenbelt Food Pantry,Active,2/13/2025,MD,MD Prince George's County,25 Crescent Rd Greenbelt MD 20770,(240) 542-2012,Thursday,3rd of the Month,1:00 PM,3:00 PM,No,,10/3/2024,,,,39.0005734,-76.8773857
19426-PART-01,Fountain Community Enrichment Inc : Fountain Community Enrichment Inc.,Active,2/11/2025,MD,MD Prince George's County,15853 Commerce Court Upper Marlboro MD 20774,(301) 335-5038,Friday,3rd of the Month,11:00 AM,2:00 PM,No,"ID,Income",10/2/2024,Drive thru,Pre-bagged or boxed groceries,,38.8841359,-76.7308249
19846-PART-01,Hope Presbyterian Church : Hope Presbyterian Church,Active,2/6/2025,MD,MD Prince George's County,1100 Enterprise Road Mitchellville MD 20721,(240) 678-7667,Saturday,4th of the Month,10:00 AM,12:00 PM,No,,9/23/2024,,Pre-bagged or boxed groceries,Come around church to rear,38.909951,-76.798955
21755-PART-02,Kingdom Global Community Development Corporation : Kingdom Cares Center,Active,2/21/2025,MD,MD Prince George's County,11700 Beltsville Drive Beltsville MD 20705,(240) 707-1085,Saturday,Every week,9:00 AM,10:30 AM,No,ID,10/2/2024,,Pre-bagged or boxed groceries,"This food distribution takes place at 11710 Beltsville Drive, Beltsville MD 20904. You may have to enter parking lot in rear via Calverton Blvd",39.052639,-76.9355426
19755-PART-01,"Mission of Love Charities, Inc. : Mission of Love Charities, Inc.",Active,2/19/2025,MD,MD Prince George's County,6180 Central Avenue Capitol Heights MD 20743,(301) 333-4440,Monday,Every week,8:30 AM,3:30 PM,No,"ID,Income",10/2/2024,,Pre-bagged or boxed groceries,Prepared Meals as well,38.8865336,-76.9029245
19755-PART-01,"Mission of Love Charities, Inc. : Mission of Love Charities, Inc.",Active,2/19/2025,MD,MD Prince George's County,6180 Central Avenue Capitol Heights MD 20743,(301) 333-4440,Tuesday,Every week,8:30 AM,3:30 PM,No,"ID,Income",10/2/2024,,Pre-bagged or boxed groceries,Prepared Meals as well,38.8865336,-76.9029245
19755-PART-01,"Mission of Love Charities, Inc. : Mission of Love Charities, Inc.",Active,2/19/2025,MD,MD Prince George's County,6180 Central Avenue Capitol Heights MD 20743,(301) 333-4440,Wednesday,Every week,8:30 AM,3:30 PM,No,"ID,Income",10/2/2024,,Pre-bagged or boxed groceries,Prepared Meals as well,38.8865336,-76.9029245
19755-PART-01,"Mission of Love Charities, Inc. : Mission of Love Charities, Inc.",Active,2/19/2025,MD,MD Prince George's County,6180 Central Avenue Capitol Heights MD 20743,(301) 333-4440,Thursday,Every week,8:30 AM,3:30 PM,No,"ID,Income",10/2/2024,,Pre-bagged or boxed groceries,Prepared Meals as well,38.8865336,-76.9029245
19755-PART-01,"Mission of Love Charities, Inc. : Mission of Love Charities, Inc.",Active,2/19/2025,MD,MD Prince George's County,6180 Central Avenue Capitol Heights MD 20743,(301) 333-4440,Friday,Every week,8:30 AM,12:00 PM,No,"ID,Income",10/2/2024,,Pre-bagged or boxed groceries,Prepared Meals as well,38.8865336,-76.9029245
19472-PART-01,Montgomery County Family Center : Montgomery County Family Center,Active,11/18/2024,MD,MD Montgomery County,12247 Georgia Ave. Silver Spring MD 20902,(301) 942-1790,Tuesday,"2nd, 3rd, and 4th of the Month",9:00 AM,4:00 PM,No,"ID,Zip Code",10/10/2024,,Pre-bagged or boxed groceries,,39.0561705,-77.0493115
14030-PART-01,SOME : So Others Might Eat,Active,1/3/2025,DC,DC Ward 5,71 O ST NW Washington DC 20002,(202) 235-1472,Monday,Every week,9:00 AM,11:00 AM,No,"ID,Income,Zip Code",10/2/2024,Walk up,Loose groceries,,38.9089563,-77.0114316
22183-PART-01,The ARK of DC Foundation : The ARK of DC Foundation,Active,11/16/2024,DC,DC Ward 5,1818 New York Ave. NE Washington DC 20002,(771) 210-9962,Wednesday,Every week,9:00 AM,5:00 PM,No,"ID,Zip Code",11/13/2024,,Loose groceries,DC Residents only,38.9176751,-76.9767498
21933-PART-01,Catholic University of America : The Cardinal Cupboard,Active,2/18/2025,DC,DC Ward 5,620 Michigan Ave NE Washington DC 20064,(202) 319-5575,Tuesday,Every week,12:00 PM,6:00 PM,No,,10/15/2024,,Loose groceries,,38.9391024,-76.9999642
21933-PART-01,Catholic University of America : The Cardinal Cupboard,Active,2/18/2025,DC,DC Ward 5,620 Michigan Ave NE Washington DC 20064,(202) 319-5575,Wednesday,Every week,12:00 PM,6:00 PM,No,,10/15/2024,,Loose groceries,,38.9391024,-76.9999642
